,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
44,polynom3,linear,medium,none,LinearRegression,0.03931584591209052,10.0,0.35489438255801853,0.35507451754462355,0.05073160074980039,0.3360979299515283,5.344395797344249,0.3403720307215764,4.140676420464171
45,linear,linear,large,high,LinearRegression,0.9137353924642161,40.0,0.15357748481366443,0.15356156783159539,-0.010365212008317994,0.1538079493209397,-0.16044476025049537,0.15485263436641153,-0.8407484717999248
46,linear,linear,large,low,LinearRegression,0.6334470592715884,30.0,0.16412044116601507,0.16410956835758606,-0.006625334852701585,0.16420702790794015,-0.05938687873563266,0.16554560435314214,-0.8750470858756011
47,linear,linear,large,none,LinearRegression,0.10571504306527243,35.0,0.2020980221113171,0.20205307475018996,-0.022245323998517044,0.20236079826192704,-0.15229835631926694,0.2037325613788466,-0.8312106265807051
48,polynom2,linear,large,high,LinearRegression,0.8138584761503566,5.0,0.5441911890527913,0.4181823988219879,-30.132494955734114,0.22562861835715886,46.045405308126185,0.24733199694806646,40.85547415558471
49,polynom2,linear,large,low,LinearRegression,0.4565859911096394,5.0,0.43498865272717296,0.434407349816486,-0.1338151647140744,0.318333274155398,26.72009939751781,0.3361862999401143,22.610356366637184
50,polynom2,linear,large,none,LinearRegression,0.13041721318237878,10.0,0.544670712121823,0.5445903295517717,-0.014760190493566841,0.48819289794591053,10.355937031103615,0.5015748699044713,7.898682241145282
51,polynom3,linear,large,high,LinearRegression,0.8704367211272213,5.0,0.7847506679880168,0.7409331609049289,-5.913827237745983,0.4037880018320895,45.50277634504462,0.4315554570692415,41.755143400226956
52,polynom3,linear,large,low,LinearRegression,0.608723103551227,5.0,0.6446216596243105,0.6403353874957196,-0.6693792366144292,0.4357032183711657,31.957029569277363,0.46065259815207554,28.06073080645495
53,polynom3,linear,large,none,LinearRegression,0.09309775759134276,10.0,0.7019536561856456,0.7003307699598545,-0.23173138970948365,0.6589235917551411,5.912517339069224,0.6683236843604414,4.570281211726265
54,linear,nonlinear,small,high,LinearRegression,0.9148152634121958,40.0,0.0851636849938795,0.08515202515044801,-0.013692972552194397,0.08513448237484733,0.02060171272460218,0.08608106964863516,-1.091042164347468
55,linear,nonlinear,small,low,LinearRegression,0.45674702722045124,40.0,0.1342153953874155,0.13414083971871468,-0.05558014163110925,0.1341604313634459,-0.01460527962424315,0.13567689668222216,-1.1451076098289648
56,linear,nonlinear,small,none,LinearRegression,0.14484424282335454,40.0,0.17189811182749967,0.17196754383187113,0.04037506312199117,0.17198276044571909,-0.00884853822348825,0.17467551442322732,-1.5746986501148803
57,polynom2,nonlinear,small,high,LinearRegression,0.8454641901310509,5.0,0.3495852555095949,0.34328610684209354,-1.834955898870349,0.16828072674399167,50.97945317623987,0.18269067990514262,46.78180204094959
58,polynom2,nonlinear,small,low,LinearRegression,0.6501416787963713,5.0,0.4494172441449152,0.4461887822305894,-0.7235641152128597,0.1984049052398989,55.53341698820127,0.22010570228978954,50.669826079123744
