,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
54,linear,nonlinear,small,high,SupportVectorMachines,0.9148152634121958,40.0,0.08529114289263433,0.08531432871183801,0.027176934465486566,0.08516629678909822,0.1735135527348451,0.08593044937944269,-0.7221772437379399
55,linear,nonlinear,small,low,SupportVectorMachines,0.45674702722045124,40.0,0.13435453071326053,0.13433747829125484,-0.012693718999791492,0.13420169766097656,0.10107427354255699,0.13679981272699862,-1.832946745066361
56,linear,nonlinear,small,none,SupportVectorMachines,0.14484424282335454,30.0,0.1737618711926381,0.17378542943570277,0.01355593684761396,0.17224101699416636,0.8886892569482161,0.17588099885394384,-1.2058372356333775
57,polynom2,nonlinear,small,high,SupportVectorMachines,0.8454641901310509,40.0,0.1651396496902894,0.16425175310772736,-0.5405705362424418,0.16128930488937487,1.803602191332173,0.16324021059285335,0.6158488391966027
58,polynom2,nonlinear,small,low,SupportVectorMachines,0.6501416787963713,40.0,0.17032698773197005,0.17123105565036245,0.5279812794230616,0.1694273242468973,1.0533903424319249,0.17582339388081272,-2.6819540491693226
59,polynom2,nonlinear,small,none,SupportVectorMachines,0.2670208231811568,40.0,0.15105169566733626,0.14719795550712572,-2.6180663630372076,0.14919318592528735,-1.3554742735982115,0.15648128900180033,-6.306700023578259
60,polynom3,nonlinear,small,high,SupportVectorMachines,0.7205932949758275,40.0,0.416384259266413,0.4096253178925234,-1.6500301809135247,0.4116809080152452,-0.5018220390520808,0.42224358309183757,-3.080440746249222
61,polynom3,nonlinear,small,low,SupportVectorMachines,0.6047306342914814,40.0,0.42390425765895334,0.41987139493113945,-0.9604995187812916,0.4146683252574919,1.2392055606695604,0.4277064932445058,-1.866070994107936
62,polynom3,nonlinear,small,none,SupportVectorMachines,0.04873670687637153,40.0,0.46054202141087147,0.43534911532307785,-5.78682836396662,0.43088316463678555,1.0258320343612186,0.46185156676000133,-6.0876318577690665
63,linear,nonlinear,medium,high,SupportVectorMachines,0.8951574640125156,40.0,0.03349817963381351,0.03355702731336428,0.1753661878367103,0.035193221698099166,-4.875862124066215,0.03509536630620242,-4.584252885312895
64,linear,nonlinear,medium,low,SupportVectorMachines,0.3727911936283303,35.0,0.07084672348977496,0.07086058901896905,0.019567335504904398,0.07096928488735411,-0.15339396678733055,0.07175438534762135,-1.2613447630431591
65,linear,nonlinear,medium,none,SupportVectorMachines,0.20158401608105855,35.0,0.09705228054864146,0.09701780040497171,-0.03554001794085121,0.09743237472935992,-0.4273177939076081,0.09855375383270899,-1.583166616152815
66,polynom2,nonlinear,medium,high,SupportVectorMachines,0.7714269396729864,40.0,0.08692382067147426,0.08658968873083807,-0.38587959551955003,0.08566843370839027,1.0639315557669944,0.0860523950758419,0.6205053544727789
67,polynom2,nonlinear,medium,low,SupportVectorMachines,0.7964922671478016,40.0,0.09404612698746845,0.09316446426035198,-0.9463508797223652,0.09063204733728958,2.7182219563732533,0.09078996830644447,2.548714225707223
68,polynom2,nonlinear,medium,none,SupportVectorMachines,0.1083979091003423,40.0,0.08248963971117591,0.08182032970513796,-0.8180240882064356,0.07950276494230372,2.8325047957961256,0.08372772274864124,-2.3311969658116665
69,polynom3,nonlinear,medium,high,SupportVectorMachines,0.7863749312806599,40.0,0.2038985625700321,0.20310292427129625,-0.3917414294208177,0.20419133654310787,-0.5358919748283668,0.20721477496687601,-2.024515752460228
70,polynom3,nonlinear,medium,low,SupportVectorMachines,0.6692894325130833,40.0,0.2339689773575486,0.23436616192063672,0.16947180422002425,0.24067703990694206,-2.6927428151690194,0.24179944453722071,-3.1716535167312765
71,polynom3,nonlinear,medium,none,SupportVectorMachines,0.0614389973721103,40.0,0.21190312213935114,0.20081878412091791,-5.5195723183739,0.20995638280265363,-4.550171300825,0.22508958049467506,-12.085919392452404
72,linear,nonlinear,large,high,SupportVectorMachines,0.8667028105651831,35.0,0.15681560124977187,0.15648534585449664,-0.21104557329113047,0.15503013956471823,0.9299313503332712,0.15623445667956865,0.16032758438689518
73,linear,nonlinear,large,low,SupportVectorMachines,0.7355849284895352,40.0,0.14449247090488546,0.1445818326448379,0.06180703226522092,0.14862017670688998,-2.793119984840826,0.1501943953346089,-3.881928031413285
74,linear,nonlinear,large,none,SupportVectorMachines,0.09904255123926121,40.0,0.19534414170778688,0.19541534449099615,0.03643663878838765,0.19330088382282304,1.0820341021226905,0.19630603564683022,-0.4557938672390724
75,polynom2,nonlinear,large,high,SupportVectorMachines,0.7125481234137451,40.0,0.19057034634815212,0.189384585919838,-0.6261124275531159,0.18523846527837315,2.1892598182303025,0.1897305890948977,-0.18269869925219537
76,polynom2,nonlinear,large,low,SupportVectorMachines,0.38938825248178255,40.0,0.21968291641746585,0.21698768125291223,-1.242114367502804,0.2128053913021181,1.9274319752370792,0.21812388858748807,-0.5236275755449551
77,polynom2,nonlinear,large,none,SupportVectorMachines,0.29770662177500234,40.0,0.26911720194517647,0.2648216288900083,-1.6220627722791776,0.2582945027126684,2.4647254851116815,0.26743962958279527,-0.9885902083452237
78,polynom3,nonlinear,large,high,SupportVectorMachines,0.7279988698552425,40.0,0.450588545540267,0.44603759650695984,-1.0203061510838694,0.4496267442141062,-0.8046738067046221,0.4641807565450923,-4.067630213286142
79,polynom3,nonlinear,large,low,SupportVectorMachines,0.6548003675150991,40.0,0.40639032586244195,0.40534817448120414,-0.2571003021221536,0.4083614333118056,-0.7433754535734719,0.4201609111989647,-3.65432426992401
80,polynom3,nonlinear,large,none,SupportVectorMachines,0.09706640119097154,40.0,0.5107890161929801,0.49426269301483144,-3.3436315165410964,0.49125782575163196,0.6079494377515797,0.5068880958727712,-2.554391224821994
81,linear,random_con,small,high,SupportVectorMachines,0.8292596710924408,40.0,0.14734912357542074,0.14714419172979493,-0.13927280663726985,0.14755638762535866,-0.28013059212059516,0.14928907891775772,-1.4576771007730387
82,linear,random_con,small,low,SupportVectorMachines,0.7833216779886366,40.0,0.09062604307392927,0.09067716437258552,0.056377257725219766,0.08971406875971286,1.062114832920205,0.09095608034994257,-0.30759230208280747
83,linear,random_con,small,none,SupportVectorMachines,0.04089345112492227,40.0,0.19311915635861326,0.19331821494007978,0.10296938730176837,0.19604988090558456,-1.4130411696339524,0.20166142390015046,-4.315790399087179
84,polynom2,random_con,small,high,SupportVectorMachines,0.8674548296436001,40.0,0.0807576282544562,0.08046752033569496,-0.3605279714734233,0.07949213924586178,1.2121425958748056,0.08112104600163947,-0.812160811241762
85,polynom2,random_con,small,low,SupportVectorMachines,0.5745479624895665,40.0,0.15808370810717043,0.15890646210698445,0.5177599380823772,0.15893505780846995,-0.017995304348446678,0.16199294058525296,-1.942324080055679
86,polynom2,random_con,small,none,SupportVectorMachines,0.2472028073949443,40.0,0.1593016035079906,0.15512197071221706,-2.6944170297627403,0.15864585290435443,-2.2716847755079703,0.16475255178687861,-6.208392679930717
87,polynom3,random_con,small,high,SupportVectorMachines,0.7277813513765695,40.0,0.4355844422210395,0.433674347526156,-0.44044447308893564,0.42821290286954516,1.2593423355024396,0.4338938919905067,-0.050624268094954294
88,polynom3,random_con,small,low,SupportVectorMachines,0.31212790205299923,40.0,0.3381992407963557,0.3330705928165626,-1.5398081038687512,0.32981891689913145,0.9762722940905171,0.3401923559977927,-2.1382143409917833
89,polynom3,random_con,small,none,SupportVectorMachines,0.16011954281753935,40.0,0.3487078740423835,0.3418533430453177,-2.005108663265908,0.34325138409565875,-0.40895930339218434,0.3605485075058279,-5.468767481975992
90,linear,random_con,medium,high,SupportVectorMachines,0.7722286381545833,35.0,0.09151374899487674,0.09146049720036309,-0.05822381918282647,0.08994672690311321,1.6551083184400899,0.09075108677744033,0.7756468034157413
91,linear,random_con,medium,low,SupportVectorMachines,0.4615422326619351,40.0,0.06626392564207975,0.06625214588024153,-0.01778019667395261,0.06630273273721606,-0.0763550467723204,0.06655802622188821,-0.4616912215939269
92,linear,random_con,medium,none,SupportVectorMachines,0.22390605206107136,30.0,0.07078369509538784,0.0707765909809782,-0.0100373786179552,0.07230747698469471,-2.162983526753848,0.07257567355736744,-2.541917534390366
