id,relationship,coeficients,trend,surface_level,spatial_autocorrelation,dataset_path,target_path,trend_path
33,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,small,high,dataset-TR_linear_rel-polynom3-lvl_small-sac-high.csv,target-TR_linear_rel-polynom3-lvl_small-sac-high.csv,trend_linear.csv
34,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,small,low,dataset-TR_linear_rel-polynom3-lvl_small-sac-low.csv,target-TR_linear_rel-polynom3-lvl_small-sac-low.csv,trend_linear.csv
35,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,small,none,dataset-TR_linear_rel-polynom3-lvl_small-sac-none.csv,target-TR_linear_rel-polynom3-lvl_small-sac-none.csv,trend_linear.csv
36,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,medium,high,dataset-TR_linear_rel-linear-lvl_medium-sac-high.csv,target-TR_linear_rel-linear-lvl_medium-sac-high.csv,trend_linear.csv
37,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,medium,low,dataset-TR_linear_rel-linear-lvl_medium-sac-low.csv,target-TR_linear_rel-linear-lvl_medium-sac-low.csv,trend_linear.csv
38,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,medium,none,dataset-TR_linear_rel-linear-lvl_medium-sac-none.csv,target-TR_linear_rel-linear-lvl_medium-sac-none.csv,trend_linear.csv
39,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,medium,high,dataset-TR_linear_rel-polynom2-lvl_medium-sac-high.csv,target-TR_linear_rel-polynom2-lvl_medium-sac-high.csv,trend_linear.csv
40,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,medium,low,dataset-TR_linear_rel-polynom2-lvl_medium-sac-low.csv,target-TR_linear_rel-polynom2-lvl_medium-sac-low.csv,trend_linear.csv
41,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,medium,none,dataset-TR_linear_rel-polynom2-lvl_medium-sac-none.csv,target-TR_linear_rel-polynom2-lvl_medium-sac-none.csv,trend_linear.csv
42,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,medium,high,dataset-TR_linear_rel-polynom3-lvl_medium-sac-high.csv,target-TR_linear_rel-polynom3-lvl_medium-sac-high.csv,trend_linear.csv
43,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,medium,low,dataset-TR_linear_rel-polynom3-lvl_medium-sac-low.csv,target-TR_linear_rel-polynom3-lvl_medium-sac-low.csv,trend_linear.csv
44,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",linear,medium,none,dataset-TR_linear_rel-polynom3-lvl_medium-sac-none.csv,target-TR_linear_rel-polynom3-lvl_medium-sac-none.csv,trend_linear.csv
45,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,large,high,dataset-TR_linear_rel-linear-lvl_large-sac-high.csv,target-TR_linear_rel-linear-lvl_large-sac-high.csv,trend_linear.csv
46,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,large,low,dataset-TR_linear_rel-linear-lvl_large-sac-low.csv,target-TR_linear_rel-linear-lvl_large-sac-low.csv,trend_linear.csv
47,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,large,none,dataset-TR_linear_rel-linear-lvl_large-sac-none.csv,target-TR_linear_rel-linear-lvl_large-sac-none.csv,trend_linear.csv
48,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,large,high,dataset-TR_linear_rel-polynom2-lvl_large-sac-high.csv,target-TR_linear_rel-polynom2-lvl_large-sac-high.csv,trend_linear.csv
